	collectri	omnipath
precision	0.2346	0.3086
recall	1.0	1.0
rand_precision	0.2639	0.3472
auprc	0.2103	0.2509
ap	0.2297	0.263
epr	0.3989	0.4608
odd_ratio	0.2491	0.2358
