	collectri	omnipath
precision	0.23457	0.30864
recall	1.0	1.0
rand_precision	0.26389	0.34722
auprc	0.26895	0.28355
ap	0.22838	0.30151
epr	0.39889	0.6912
odd_ratio	0.24913	0.46537
