	collectri	omnipath
precision	0.23457	0.30864
recall	1.0	1.0
rand_precision	0.26389	0.34722
auprc	0.27306	0.27751
ap	0.23339	0.29978
epr	0.79778	0.8064
odd_ratio	0.67556	0.62654
