	collectri	omnipath
precision	0.0216	0.16797
recall	1.0	1.0
rand_precision	0.02288	0.17917
auprc	0.02809	0.12025
ap	0.03818	0.12799
epr	0.0	0.3894
odd_ratio	0.0	0.29438
