	collectri	omnipath
precision	0.0216	0.16797
recall	1.0	1.0
rand_precision	0.02288	0.17917
auprc	0.0261	0.12656
ap	0.03288	0.13314
epr	0.0	0.7788
odd_ratio	0.0	0.70124
