	collectri	omnipath
precision	0.0216	0.16797
recall	1.0	1.0
rand_precision	0.02288	0.17917
auprc	0.04154	0.11965
ap	0.06327	0.12505
epr	6.2449	0.3894
odd_ratio	8.13889	0.29438
