	collectri	omnipath
precision	0.12245	0.3125
recall	1.0	1.0
rand_precision	0.14286	0.41667
auprc	0.09239	0.20711
ap	0.11375	0.25869
epr	0.0	0.48
odd_ratio	0.0	0.1875
