	collectri	omnipath
precision	0.02083	0.25926
recall	1.0	1.0
rand_precision	0.02273	0.29167
auprc	0.34833	0.21127
ap	0.0191	0.22986
epr	14.66667	0.4898
odd_ratio	31.75	0.30556
