	collectri	omnipath
precision	0.00515	0.11037
recall	1.0	1.0
rand_precision	0.00521	0.1116
auprc	0.00541	0.1128
ap	0.00609	0.11307
epr	0.0	0.93135
odd_ratio	0.0	0.91451
