	collectri	omnipath
precision	0.005	0.06641
recall	1.0	1.0
rand_precision	0.00526	0.07083
auprc	0.0071	0.04854
ap	0.01082	0.0521
epr	0.0	0.0
odd_ratio	0.0	0.0
