	collectri	omnipath
precision	0.07812	0.36111
recall	1.0	1.0
rand_precision	0.08929	0.43333
auprc	0.10467	0.31099
ap	0.16456	0.33692
epr	2.24	0.53254
odd_ratio	2.9375	0.21
