	collectri	omnipath
precision	0.00521	0.00889
recall	1.0	1.0
rand_precision	0.00543	0.0092
auprc	0.04397	0.01001
ap	0.08067	0.01211
epr	0.0	0.0
odd_ratio	0.0	0.0
