	collectri	omnipath
precision	0.00521	0.00889
recall	1.0	1.0
rand_precision	0.00543	0.0092
auprc	0.08536	0.0385
ap	0.14132	0.05451
epr	0.0	13.59375
odd_ratio	0.0	17.44898
