	collectri	omnipath
precision	0.04959	0.15972
recall	1.0	1.0
rand_precision	0.05455	0.17424
auprc	0.05574	0.15186
ap	0.07157	0.16069
epr	0.0	0.24953
odd_ratio	0.0	0.17975
