	collectri	omnipath
precision	0.01753	0.10734
recall	1.0	1.0
rand_precision	0.01802	0.11024
auprc	0.02683	0.10473
ap	0.03261	0.10727
epr	2.3125	0.70227
odd_ratio	2.42911	0.6502
