	collectri	omnipath
precision	0.01753	0.10734
recall	1.0	1.0
rand_precision	0.01802	0.11024
auprc	0.03002	0.11299
ap	0.03874	0.11655
epr	2.3125	0.93636
odd_ratio	2.42911	0.92086
